ID,Name,Category,Collection,Details,Source photos
"botanical-set","EYLIN Fuji Green Tea Guest Amenity Kit","Gift Sets","EYLIN Fuji Green Tea","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-25 at 15.41.54.jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-25 at 15.41.55.jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-25 at 15.41.52 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-25 at 15.41.52.jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-05 at 11.39.05.jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-05 at 11.39.06.jpeg"
"botanical-soap","EYLIN Fuji Green Tea Soap","Soaps","EYLIN Fuji Green Tea","Fuji green tea & vitamin E","source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-05 at 11.39.05 (2).jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-05 at 11.39.05 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\IMG-20260323-WA0034.jpg.jpeg"
"eylin-fuji-green-tea-shampoo","EYLIN Fuji Green Tea Shampoo","Hair Care","EYLIN Fuji Green Tea","Shampoo","source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-25 at 16.05.43 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-25 at 15.41.55.jpeg"
"eylin-fuji-green-tea-shower-gel","EYLIN Fuji Green Tea Shower Gel","Bath & Body","EYLIN Fuji Green Tea","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-25 at 16.05.43.jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-25 at 15.41.54.jpeg"
"eylin-fuji-green-tea-body-milk","EYLIN Fuji Green Tea Body Milk","Bath & Body","EYLIN Fuji Green Tea","Fuji green tea & vitamin E","source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-05 at 11.39.04 (2).jpeg | source-assets\full-catalogue\website folder\wet amenities\fuji green tee kit\WhatsApp Image 2026-03-05 at 11.39.04 (1).jpeg"
"spa-essentials","EYLIN Spa Absolute Jasmin Guest Amenity Kit","Gift Sets","EYLIN Spa Absolute Jasmin","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_125941.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_125928.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260407_125955.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_130106.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_130400.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_130419.png"
"spa-soap","EYLIN Spa Absolute Jasmin Soap","Soaps","EYLIN Spa Absolute Jasmin","Sculpted soap bar","source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_125741.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_125726.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_130514.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_130645.png.jpeg"
"eylin-spa-absolute-jasmin-shower-gel","EYLIN Spa Absolute Jasmin Shower Gel","Bath & Body","EYLIN Spa Absolute Jasmin","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260407_125754.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_130015.png"
"eylin-spa-absolute-jasmin-shampoo","EYLIN Spa Absolute Jasmin Shampoo","Hair Care","EYLIN Spa Absolute Jasmin","Absolute Jasmin","source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260407_125836.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260407_130018.png"
"eylin-spa-absolute-jasmin-body-milk","EYLIN Spa Absolute Jasmin Body Milk","Bath & Body","EYLIN Spa Absolute Jasmin","Body Milk","source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_130321.png | source-assets\full-catalogue\website folder\wet amenities\eylin spa jasmin kit\IMG_20260410_130015.png"
